customer_id,tenure_months,monthly_charges,total_charges,num_products,support_calls_6m,late_payments,contract_type,payment_method,internet_service,online_security,age_group,churned
CUST00296,22,116.86,2402.19,5,3,1,Two year,Electronic check,DSL,Yes,65+,1
CUST00297,14,75.99,1040.71,3,0,2,One year,Electronic check,Fiber optic,No internet,36-50,1
CUST00298,3,80.99,255.41,3,4,0,Two year,Credit card,No,No internet,65+,1
CUST00299,10,112.63,1039.17,4,9,1,Month-to-month,Credit card,DSL,No internet,36-50,1
CUST00300,31,46.91,1319.75,3,3,3,One year,Credit card,Fiber optic,No,26-35,0
CUST00301,14,41.66,545.16,5,3,1,One year,Credit card,DSL,No,51-65,1
CUST00302,41,24.58,1100.46,3,2,5,One year,Credit card,DSL,No,26-35,1
CUST00303,59,58.29,3459.2,1,9,8,One year,Credit card,No,No internet,26-35,0
CUST00304,62,20.67,1245.91,2,8,8,One year,Bank transfer,DSL,No,65+,0
CUST00305,55,61.61,3697.28,5,8,6,One year,Mailed check,Fiber optic,No,26-35,1
CUST00306,18,69.27,1206.43,3,10,2,Two year,Mailed check,Fiber optic,No,65+,1
CUST00307,37,37.78,1294.11,5,1,0,Two year,Mailed check,Fiber optic,Yes,26-35,0
CUST00308,1,108.25,98.35,3,5,0,Month-to-month,Bank transfer,DSL,No internet,18-25,1
CUST00309,42,106.85,4101.08,1,5,5,One year,Credit card,No,Yes,51-65,1
CUST00310,72,93.82,7000.92,3,4,4,One year,Mailed check,No,No internet,51-65,0
CUST00311,19,69.96,1422.38,2,6,3,Two year,Mailed check,No,No,51-65,1
CUST00312,20,94.69,1753.56,5,2,2,Month-to-month,Bank transfer,DSL,No internet,65+,1
CUST00313,14,93.7,1230.58,1,2,0,Two year,Bank transfer,No,Yes,36-50,1
CUST00314,12,25.9,325.61,1,8,0,Month-to-month,Mailed check,Fiber optic,Yes,65+,0
CUST00315,22,96.69,2086.35,1,10,3,Month-to-month,Bank transfer,Fiber optic,No,51-65,1
CUST00316,42,46.03,2116.26,5,10,4,Two year,Credit card,Fiber optic,Yes,65+,1
CUST00317,12,71.09,900.09,4,6,2,Two year,Bank transfer,No,Yes,51-65,1
CUST00318,7,74.94,491.18,4,1,1,Month-to-month,Bank transfer,Fiber optic,No internet,26-35,1
CUST00319,24,115.67,3012.65,3,2,1,Month-to-month,Bank transfer,No,No,26-35,1
CUST00320,13,93.28,1285.25,5,1,2,Month-to-month,Bank transfer,DSL,No,36-50,1
CUST00321,32,98.94,3391.31,5,3,2,Two year,Electronic check,Fiber optic,No,18-25,1
CUST00322,63,92.48,5783.16,4,3,2,Month-to-month,Electronic check,Fiber optic,No,65+,0
CUST00323,64,81.12,5425.34,2,7,9,Two year,Mailed check,DSL,Yes,65+,1
CUST00324,23,64.01,1372.73,3,3,3,Two year,Credit card,DSL,No,36-50,1
CUST00325,18,77.96,1419.65,5,3,1,Month-to-month,Credit card,No,Yes,26-35,0
CUST00326,47,59.71,2969.47,1,8,3,One year,Mailed check,No,No internet,51-65,1
CUST00327,67,70.35,5056.23,4,5,10,Month-to-month,Electronic check,No,No internet,36-50,1
CUST00328,24,43.68,1055.66,1,0,1,Month-to-month,Mailed check,No,Yes,65+,1
CUST00329,42,30.95,1187.17,2,3,1,Month-to-month,Bank transfer,No,No internet,26-35,0
CUST00330,45,86.4,3571.11,2,7,4,Month-to-month,Credit card,No,Yes,18-25,1
CUST00331,54,119.22,5900.51,5,7,1,Two year,Credit card,DSL,No,18-25,0
CUST00332,20,93.18,1720.31,2,1,3,Month-to-month,Credit card,DSL,No internet,18-25,1
CUST00333,15,31.27,459.92,2,2,0,Month-to-month,Credit card,Fiber optic,Yes,36-50,1
CUST00334,68,96.0,7092.54,2,9,11,Two year,Bank transfer,Fiber optic,No,36-50,1
CUST00335,27,73.61,2051.2,4,10,2,Two year,Credit card,DSL,No,26-35,1
CUST00336,13,29.01,341.13,5,10,1,One year,Credit card,No,No internet,36-50,1
CUST00337,18,35.01,603.3,2,0,1,Two year,Electronic check,Fiber optic,No internet,51-65,0
CUST00338,9,101.05,952.37,1,3,1,One year,Credit card,DSL,Yes,51-65,1
CUST00339,16,34.19,513.21,3,8,1,Two year,Electronic check,Fiber optic,No,26-35,1
CUST00340,28,104.63,2788.64,1,2,0,Month-to-month,Mailed check,DSL,No,65+,1
CUST00341,21,67.93,1442.94,3,0,1,Two year,Credit card,Fiber optic,No internet,18-25,1
CUST00342,56,62.62,3570.41,4,3,2,Two year,Credit card,Fiber optic,No,36-50,0
CUST00343,21,102.78,2238.0,1,3,2,Month-to-month,Bank transfer,DSL,Yes,18-25,1
CUST00344,47,110.8,5109.22,4,9,7,One year,Credit card,Fiber optic,No,65+,1
CUST00345,45,57.2,2535.48,2,3,4,One year,Credit card,DSL,No,51-65,1
CUST00346,56,20.27,1031.63,1,1,8,Two year,Mailed check,No,Yes,18-25,0
CUST00347,58,59.86,3654.81,1,7,2,One year,Credit card,No,Yes,65+,0
CUST00348,13,101.23,1360.78,4,1,0,Month-to-month,Electronic check,No,Yes,51-65,0
CUST00349,11,39.55,395.24,4,1,0,Month-to-month,Mailed check,No,Yes,36-50,0
CUST00350,11,116.88,1366.16,3,5,1,One year,Bank transfer,DSL,No internet,26-35,1
CUST00351,4,21.74,85.83,3,8,0,One year,Mailed check,No,No,65+,1
CUST00352,33,69.62,2161.71,5,0,2,Month-to-month,Mailed check,DSL,No,36-50,0
CUST00353,56,108.96,6024.64,2,1,5,Two year,Credit card,No,Yes,26-35,1
CUST00354,61,21.9,1217.69,3,6,6,One year,Credit card,DSL,Yes,18-25,0
CUST00355,58,78.85,4725.62,1,4,0,Month-to-month,Electronic check,No,Yes,65+,0
CUST00356,71,26.79,1983.84,3,9,0,Two year,Credit card,Fiber optic,Yes,18-25,0
CUST00357,33,81.06,2675.96,5,4,5,Two year,Mailed check,Fiber optic,No internet,65+,1
CUST00358,64,83.89,5527.91,2,7,9,One year,Mailed check,No,No internet,36-50,1
CUST00359,14,61.09,835.08,1,2,0,One year,Electronic check,DSL,No,51-65,1
CUST00360,35,44.82,1672.52,3,6,1,Two year,Electronic check,No,No internet,18-25,1
CUST00361,58,100.7,5334.8,3,2,6,Two year,Bank transfer,DSL,Yes,51-65,1
CUST00362,7,71.56,532.96,5,2,0,Month-to-month,Credit card,No,No internet,36-50,1
CUST00363,13,104.96,1474.17,5,1,0,One year,Mailed check,DSL,Yes,18-25,1
CUST00364,57,116.25,6932.33,5,8,9,Two year,Credit card,DSL,No internet,51-65,1
CUST00365,34,50.41,1589.93,1,7,2,Two year,Bank transfer,No,No,65+,1
CUST00366,48,63.77,2761.93,2,0,0,One year,Electronic check,Fiber optic,No internet,18-25,0
CUST00367,24,104.21,2441.14,1,4,4,One year,Credit card,No,No internet,18-25,1
CUST00368,21,71.09,1492.8,5,4,1,Two year,Bank transfer,Fiber optic,No internet,51-65,0
CUST00369,62,86.46,4878.1,1,9,5,Month-to-month,Credit card,Fiber optic,Yes,65+,1
CUST00370,55,31.25,1693.71,4,8,3,Two year,Bank transfer,Fiber optic,No internet,51-65,0
CUST00371,46,30.7,1533.93,5,10,6,Month-to-month,Electronic check,No,Yes,65+,1
CUST00372,54,90.2,4659.45,5,6,6,Two year,Mailed check,DSL,No,51-65,0
CUST00373,66,51.24,3087.46,1,2,8,One year,Credit card,Fiber optic,Yes,26-35,0
CUST00374,46,78.0,3403.69,4,4,2,Month-to-month,Electronic check,No,No,65+,1
CUST00375,65,42.8,2526.66,4,2,4,One year,Mailed check,DSL,No internet,51-65,0
CUST00376,9,62.49,576.27,1,1,1,Month-to-month,Bank transfer,Fiber optic,No internet,65+,1
CUST00377,21,119.86,2704.9,4,1,1,Month-to-month,Mailed check,No,No,18-25,1
CUST00378,44,38.66,1615.52,3,5,1,Two year,Credit card,DSL,No,36-50,0
CUST00379,39,69.56,2583.81,5,1,3,One year,Credit card,DSL,No internet,36-50,1
CUST00380,36,22.83,832.93,4,1,3,Two year,Credit card,No,Yes,36-50,0
CUST00381,69,77.32,5384.83,1,8,8,Two year,Credit card,Fiber optic,No,65+,0
CUST00382,19,29.69,516.68,3,6,0,Two year,Bank transfer,Fiber optic,No internet,51-65,1
CUST00383,34,74.59,2595.13,5,9,1,Two year,Mailed check,No,No internet,65+,0
CUST00384,57,51.16,2920.04,5,4,1,One year,Credit card,DSL,Yes,65+,0
CUST00385,18,92.24,1719.93,1,10,3,One year,Bank transfer,No,No,18-25,1
CUST00386,45,31.34,1403.1,4,10,0,Two year,Mailed check,DSL,No,36-50,0
CUST00387,32,61.08,2036.4,2,1,4,Two year,Electronic check,Fiber optic,No,65+,1
CUST00388,8,57.9,417.59,1,9,1,Two year,Electronic check,DSL,Yes,36-50,1
CUST00389,49,119.86,6087.4,3,8,6,One year,Mailed check,Fiber optic,Yes,36-50,1
CUST00390,56,46.21,2336.41,3,5,6,One year,Electronic check,No,Yes,65+,1
CUST00391,58,98.25,5480.27,3,3,3,Two year,Credit card,Fiber optic,Yes,26-35,0
CUST00392,48,45.81,2156.85,4,2,2,One year,Credit card,DSL,No,36-50,0
CUST00393,45,42.89,1757.77,4,2,2,Month-to-month,Bank transfer,DSL,No,26-35,0
CUST00394,58,62.82,3921.46,4,4,6,Month-to-month,Mailed check,DSL,Yes,18-25,1
CUST00395,23,48.09,1213.03,1,5,2,Two year,Mailed check,DSL,Yes,65+,1
CUST00396,2,30.83,62.76,4,7,0,Month-to-month,Bank transfer,No,No internet,36-50,1
CUST00397,57,113.07,6957.06,3,7,2,Two year,Mailed check,Fiber optic,Yes,51-65,1
CUST00398,10,34.73,320.27,2,0,0,One year,Electronic check,DSL,No,36-50,0
CUST00399,50,106.64,5366.43,4,8,5,Two year,Bank transfer,Fiber optic,No,65+,1
CUST00400,23,50.98,1084.23,5,3,2,One year,Credit card,DSL,No internet,51-65,1
CUST00401,33,50.55,1623.92,4,5,5,Month-to-month,Bank transfer,DSL,Yes,26-35,1
CUST00402,25,35.42,923.21,4,4,4,One year,Credit card,Fiber optic,No,51-65,1
CUST00403,27,44.29,1146.44,2,7,1,Month-to-month,Bank transfer,No,No internet,51-65,0
CUST00404,22,101.96,2421.56,3,0,0,One year,Bank transfer,DSL,No,36-50,0
CUST00405,25,23.32,595.7,2,5,4,Two year,Bank transfer,Fiber optic,No internet,26-35,1
CUST00406,43,104.78,4848.95,1,0,1,One year,Mailed check,Fiber optic,No internet,36-50,0
CUST00407,66,110.5,7792.66,3,2,4,One year,Electronic check,No,No,36-50,0
CUST00408,34,62.75,2272.54,2,8,2,Two year,Bank transfer,Fiber optic,No internet,65+,1
CUST00409,14,21.56,313.08,3,3,2,Two year,Credit card,DSL,No internet,51-65,1
CUST00410,65,71.25,4404.74,5,6,9,Two year,Bank transfer,No,No internet,18-25,0
CUST00411,40,119.32,4595.73,5,2,6,One year,Credit card,Fiber optic,No,26-35,1
CUST00412,33,57.68,1726.96,1,9,4,One year,Bank transfer,Fiber optic,Yes,26-35,1
CUST00413,72,84.87,6223.56,2,8,3,Month-to-month,Credit card,DSL,Yes,65+,0
CUST00414,64,23.01,1596.33,2,9,3,Two year,Credit card,No,No internet,65+,1
CUST00415,28,36.78,951.8,1,0,1,Month-to-month,Bank transfer,DSL,Yes,18-25,0
CUST00416,67,58.59,3873.69,1,0,0,Two year,Mailed check,No,No,18-25,0
CUST00417,2,74.77,159.05,2,5,0,Month-to-month,Electronic check,DSL,No internet,26-35,1
CUST00418,71,48.94,3349.18,2,10,1,One year,Electronic check,Fiber optic,No internet,26-35,0
CUST00419,25,51.49,1263.74,5,5,0,Month-to-month,Credit card,DSL,No internet,18-25,0
CUST00420,59,103.53,5991.33,2,0,5,One year,Mailed check,Fiber optic,Yes,36-50,0
CUST00421,3,110.29,300.83,4,10,0,One year,Electronic check,DSL,Yes,18-25,1
CUST00422,51,111.61,5463.39,1,1,3,One year,Electronic check,DSL,No,65+,0
CUST00423,35,97.24,3382.59,5,9,0,One year,Bank transfer,Fiber optic,No,65+,1
CUST00424,26,49.42,1192.62,5,9,4,Two year,Mailed check,DSL,No internet,26-35,1
CUST00425,70,63.34,4482.94,5,1,7,Two year,Mailed check,No,Yes,36-50,0
CUST00426,4,57.1,232.57,2,5,0,One year,Credit card,No,No internet,26-35,1
CUST00427,17,22.23,346.69,4,5,1,Two year,Bank transfer,Fiber optic,Yes,36-50,0
CUST00428,11,75.33,746.74,5,5,0,One year,Electronic check,No,No,18-25,1
CUST00429,59,68.67,3882.0,1,10,2,One year,Electronic check,Fiber optic,No internet,26-35,0
CUST00430,10,29.66,306.86,5,2,1,One year,Bank transfer,Fiber optic,No,26-35,1
CUST00431,21,34.09,779.32,3,8,0,One year,Credit card,No,No,36-50,1
CUST00432,35,111.62,3598.25,5,5,5,Month-to-month,Electronic check,Fiber optic,No internet,26-35,1
CUST00433,1,104.49,97.0,3,7,0,Two year,Credit card,No,Yes,18-25,1
CUST00434,52,41.96,2271.0,3,6,4,Month-to-month,Bank transfer,Fiber optic,No,26-35,1
CUST00435,65,36.3,2387.81,3,4,0,Month-to-month,Credit card,Fiber optic,No internet,65+,0
CUST00436,24,36.09,824.9,4,3,0,One year,Electronic check,DSL,No,18-25,0
CUST00437,8,98.63,858.94,1,1,0,Two year,Electronic check,DSL,No internet,26-35,1
CUST00438,60,108.59,6006.17,1,5,2,Month-to-month,Electronic check,DSL,No,18-25,0
CUST00439,18,39.96,652.07,1,6,2,Two year,Credit card,DSL,No,36-50,1
CUST00440,12,107.73,1311.89,3,8,2,Two year,Bank transfer,No,No internet,51-65,1
CUST00441,53,79.31,4264.87,4,5,2,Two year,Electronic check,Fiber optic,No,18-25,1
CUST00442,53,103.63,5039.92,5,8,2,One year,Credit card,DSL,No internet,18-25,1
CUST00443,5,45.78,208.09,3,8,0,Month-to-month,Bank transfer,DSL,No,36-50,1
CUST00444,28,117.08,3464.23,3,7,2,Month-to-month,Electronic check,DSL,No,65+,1
CUST00445,8,60.56,462.49,5,6,0,Two year,Mailed check,Fiber optic,Yes,65+,1
CUST00446,71,41.9,3104.46,3,4,8,Month-to-month,Electronic check,DSL,No,36-50,0
CUST00447,52,111.5,5844.61,3,5,0,One year,Mailed check,Fiber optic,No internet,18-25,0
CUST00448,51,56.01,2924.99,3,1,5,Two year,Bank transfer,No,Yes,65+,0
CUST00449,5,74.08,358.05,3,1,0,One year,Electronic check,No,Yes,65+,1
CUST00450,14,108.95,1403.19,1,1,1,Month-to-month,Credit card,DSL,No,36-50,1
CUST00451,57,88.2,4578.94,2,2,0,One year,Electronic check,DSL,No,36-50,0
CUST00452,11,88.26,1067.6,1,10,0,Two year,Electronic check,DSL,Yes,26-35,1
CUST00453,54,95.95,5388.17,1,1,5,Month-to-month,Electronic check,DSL,No internet,26-35,1
CUST00454,45,116.66,5412.1,5,4,7,Month-to-month,Mailed check,Fiber optic,Yes,51-65,1
CUST00455,13,96.5,1305.73,2,7,2,Two year,Credit card,Fiber optic,No internet,65+,1
CUST00456,47,84.39,4294.31,1,0,0,Two year,Bank transfer,Fiber optic,No internet,18-25,0
CUST00457,27,89.0,2440.96,1,4,2,Month-to-month,Credit card,DSL,No,18-25,1
CUST00458,65,81.16,5773.72,3,1,1,Month-to-month,Bank transfer,No,No,65+,0
CUST00459,23,115.98,2592.41,2,5,2,Month-to-month,Credit card,Fiber optic,No,18-25,1
CUST00460,5,25.93,141.68,5,9,0,One year,Credit card,DSL,No internet,51-65,1
CUST00461,57,67.75,3509.63,2,7,8,One year,Bank transfer,No,Yes,26-35,1
CUST00462,37,50.68,1949.75,3,3,0,One year,Bank transfer,Fiber optic,No,18-25,1
CUST00463,28,36.07,979.24,1,1,3,Month-to-month,Mailed check,Fiber optic,No,26-35,0
CUST00464,51,38.36,1802.11,5,4,2,Two year,Bank transfer,DSL,Yes,36-50,0
CUST00465,43,105.6,4150.06,1,9,0,Two year,Mailed check,No,Yes,36-50,1
CUST00466,32,20.56,692.7,5,8,3,Month-to-month,Credit card,DSL,No,51-65,0
CUST00467,57,41.99,2219.23,1,4,5,One year,Electronic check,No,No internet,65+,0
CUST00468,58,52.33,3074.96,2,1,2,One year,Electronic check,DSL,No,18-25,0
CUST00469,30,115.33,3280.17,2,0,5,Month-to-month,Mailed check,Fiber optic,No,65+,1
CUST00470,24,27.77,661.41,4,0,4,Month-to-month,Credit card,Fiber optic,Yes,26-35,1
CUST00471,71,20.61,1372.31,2,1,10,Two year,Bank transfer,DSL,No,65+,0
CUST00472,16,72.23,1250.41,1,10,1,Month-to-month,Mailed check,DSL,No internet,36-50,1
CUST00473,43,75.02,2955.89,5,5,7,Two year,Mailed check,DSL,No internet,18-25,1
CUST00474,49,75.6,3366.9,1,5,3,Two year,Bank transfer,DSL,No internet,51-65,0
CUST00475,20,70.85,1440.21,2,8,2,One year,Electronic check,DSL,No internet,18-25,1
CUST00476,66,33.81,2330.71,4,2,0,Two year,Electronic check,No,Yes,26-35,0
CUST00477,18,86.25,1445.53,3,1,2,One year,Mailed check,Fiber optic,No internet,26-35,1
CUST00478,17,112.46,2049.57,1,1,1,Two year,Bank transfer,No,Yes,26-35,1
CUST00479,2,32.76,67.28,1,4,0,Month-to-month,Bank transfer,DSL,No internet,51-65,0
CUST00480,64,55.92,3886.93,1,3,5,Month-to-month,Credit card,Fiber optic,No,18-25,0
CUST00481,53,45.35,2257.91,1,5,3,One year,Mailed check,Fiber optic,No,51-65,0
CUST00482,13,81.11,996.28,1,10,0,Month-to-month,Mailed check,No,No internet,18-25,1
CUST00483,61,49.85,3262.95,1,2,9,Two year,Bank transfer,DSL,Yes,36-50,0
CUST00484,32,104.21,3496.04,3,1,4,Two year,Credit card,DSL,Yes,51-65,1
CUST00485,63,21.4,1228.45,4,8,5,One year,Mailed check,Fiber optic,Yes,51-65,0
CUST00486,30,90.04,2933.43,1,9,4,Month-to-month,Electronic check,No,No,36-50,1
CUST00487,39,85.6,3298.99,4,6,1,Two year,Electronic check,No,Yes,26-35,0
CUST00488,54,54.38,2820.41,5,6,2,Month-to-month,Mailed check,DSL,No,18-25,0
CUST00489,12,49.55,552.6,2,6,2,Month-to-month,Electronic check,No,No internet,36-50,1
CUST00490,35,87.35,2813.53,5,8,5,Two year,Mailed check,No,No internet,65+,1
CUST00491,13,93.99,1327.03,2,10,0,Two year,Electronic check,No,Yes,65+,1
CUST00492,49,46.37,2136.26,3,3,2,One year,Mailed check,DSL,No,18-25,0
CUST00493,47,73.16,3249.34,3,3,0,Two year,Bank transfer,DSL,Yes,36-50,0
CUST00494,68,69.95,4307.57,3,5,7,Two year,Electronic check,Fiber optic,No,51-65,0
CUST00495,52,78.68,4414.51,3,10,5,Month-to-month,Electronic check,DSL,No,36-50,1
CUST00496,61,119.11,6932.73,4,9,8,One year,Bank transfer,Fiber optic,Yes,18-25,1
CUST00497,23,54.33,1217.09,5,0,2,Two year,Electronic check,No,Yes,36-50,1
CUST00498,24,96.04,2349.19,3,5,4,One year,Bank transfer,DSL,Yes,18-25,1
CUST00499,59,107.01,6030.97,2,5,9,Month-to-month,Electronic check,DSL,No,18-25,1
CUST00500,37,25.26,965.97,3,10,4,Month-to-month,Mailed check,DSL,No,36-50,1
CUST00501,40,41.35,1756.41,4,9,3,Month-to-month,Mailed check,DSL,Yes,18-25,1
CUST00502,4,73.42,304.62,1,7,0,Month-to-month,Credit card,Fiber optic,No internet,65+,1
CUST00503,58,29.24,1842.63,3,5,2,Month-to-month,Electronic check,No,No,26-35,0
CUST00504,56,108.92,6106.21,4,4,4,Two year,Mailed check,DSL,Yes,51-65,1
CUST00505,25,84.28,1965.24,1,8,3,One year,Bank transfer,DSL,No,51-65,1
CUST00506,58,33.21,1899.2,3,6,3,One year,Credit card,No,Yes,36-50,0
CUST00507,20,101.37,2202.74,1,0,2,One year,Credit card,DSL,Yes,26-35,1
CUST00508,62,105.63,6127.54,2,1,4,Month-to-month,Credit card,Fiber optic,Yes,65+,0
CUST00509,39,42.67,1688.65,1,3,6,One year,Credit card,Fiber optic,Yes,18-25,1
CUST00510,26,32.16,815.77,3,5,1,Two year,Credit card,No,No internet,26-35,0
CUST00511,63,98.41,6006.36,3,9,5,Two year,Bank transfer,DSL,Yes,26-35,1
CUST00512,20,83.99,1770.8,4,3,1,Month-to-month,Credit card,Fiber optic,No,51-65,1
CUST00513,29,98.19,2691.18,2,6,3,Month-to-month,Electronic check,DSL,No,51-65,1
CUST00514,12,110.74,1342.49,4,0,2,Month-to-month,Bank transfer,DSL,No,18-25,1
CUST00515,13,21.42,257.56,4,1,1,Two year,Bank transfer,No,No internet,65+,1
CUST00516,24,90.61,2376.3,4,10,3,Two year,Electronic check,Fiber optic,No,26-35,1
CUST00517,42,64.26,2570.81,2,3,3,Two year,Bank transfer,DSL,Yes,65+,0
CUST00518,3,83.47,263.15,3,4,0,Two year,Bank transfer,No,No internet,26-35,0
CUST00519,23,93.43,2086.03,1,6,1,Two year,Electronic check,DSL,No,18-25,1
CUST00520,50,44.22,2386.59,4,3,1,Month-to-month,Electronic check,Fiber optic,No internet,51-65,0
CUST00521,36,30.45,1038.39,4,10,2,Month-to-month,Electronic check,DSL,No internet,65+,1
CUST00522,42,34.85,1577.42,1,3,6,Two year,Electronic check,No,No,26-35,1
CUST00523,61,85.69,5108.03,3,4,7,Month-to-month,Electronic check,Fiber optic,No,65+,1
CUST00524,10,99.93,1086.6,1,5,0,Month-to-month,Credit card,No,No internet,36-50,0
CUST00525,43,62.83,2440.66,1,9,6,Two year,Bank transfer,No,No,51-65,1
CUST00526,71,69.67,5248.17,1,7,0,Month-to-month,Mailed check,DSL,No internet,18-25,0
CUST00527,10,82.27,847.71,1,2,0,Month-to-month,Electronic check,DSL,Yes,65+,1
CUST00528,32,95.19,3003.43,5,6,3,One year,Credit card,No,No internet,51-65,1
CUST00529,28,27.42,756.45,4,3,0,Two year,Bank transfer,DSL,No,51-65,0
CUST00530,4,66.04,255.66,5,8,0,Month-to-month,Bank transfer,No,No internet,65+,1
CUST00531,40,40.3,1645.08,4,5,2,Month-to-month,Credit card,No,No internet,65+,0
CUST00532,43,38.17,1518.11,1,2,1,Month-to-month,Electronic check,Fiber optic,No,36-50,0
CUST00533,37,76.3,2798.31,3,7,0,Two year,Credit card,DSL,Yes,51-65,0
CUST00534,72,66.43,4597.54,5,10,12,Two year,Mailed check,No,No,36-50,1
CUST00535,12,61.98,699.33,3,6,2,Month-to-month,Electronic check,Fiber optic,Yes,18-25,1
CUST00536,53,44.43,2267.54,2,7,3,One year,Mailed check,No,Yes,51-65,1
CUST00537,57,27.91,1712.65,5,10,5,Month-to-month,Mailed check,DSL,No,26-35,1
CUST00538,7,89.47,638.01,1,2,1,Month-to-month,Mailed check,Fiber optic,No internet,26-35,1
CUST00539,55,49.97,3016.29,3,9,4,Two year,Electronic check,No,No,36-50,1
CUST00540,37,61.39,2241.73,3,5,6,One year,Bank transfer,Fiber optic,No internet,36-50,1
CUST00541,10,99.17,953.09,1,6,0,Two year,Bank transfer,No,No,36-50,1
CUST00542,58,48.51,2855.74,3,6,4,Two year,Bank transfer,DSL,Yes,18-25,1
CUST00543,43,70.05,2788.23,4,3,4,Month-to-month,Bank transfer,DSL,Yes,18-25,1
CUST00544,58,32.91,1981.8,1,7,0,Two year,Electronic check,DSL,No,51-65,0
CUST00545,48,53.67,2730.91,2,2,0,Month-to-month,Credit card,DSL,No,36-50,0
CUST00546,56,104.83,5731.35,1,2,9,Month-to-month,Bank transfer,No,No,18-25,1
CUST00547,18,97.88,1657.55,4,5,3,One year,Mailed check,DSL,No,65+,1
CUST00548,44,82.8,3890.63,1,8,6,Two year,Bank transfer,DSL,No,36-50,1
CUST00549,71,49.83,3367.67,3,6,6,Month-to-month,Credit card,DSL,Yes,65+,0
CUST00550,71,57.1,4366.28,3,2,3,Two year,Bank transfer,DSL,Yes,26-35,0
CUST00551,40,65.75,2463.32,4,3,5,Month-to-month,Credit card,Fiber optic,Yes,51-65,1
CUST00552,54,70.44,3950.7,4,8,0,Two year,Electronic check,No,No internet,26-35,1
CUST00553,36,58.14,2127.6,1,2,6,Two year,Credit card,No,No internet,51-65,1
CUST00554,57,108.93,5668.1,3,3,0,Month-to-month,Bank transfer,DSL,No internet,36-50,0
CUST00555,7,36.34,270.41,5,4,1,One year,Electronic check,DSL,No,36-50,1
CUST00556,21,39.9,776.48,2,9,1,One year,Mailed check,No,Yes,26-35,1
CUST00557,27,107.78,2752.75,2,3,2,One year,Mailed check,Fiber optic,Yes,18-25,1
CUST00558,55,98.33,5262.35,1,7,6,Two year,Electronic check,Fiber optic,Yes,18-25,1
CUST00559,23,47.8,1070.86,1,1,1,Month-to-month,Electronic check,Fiber optic,Yes,26-35,1
CUST00560,4,41.68,173.95,2,0,0,Two year,Credit card,DSL,No,26-35,0
CUST00561,21,86.19,1676.92,1,5,0,One year,Mailed check,Fiber optic,No internet,65+,1
CUST00562,60,92.96,6089.0,4,10,10,One year,Mailed check,DSL,No internet,65+,1
CUST00563,24,112.57,2458.55,3,10,4,Month-to-month,Mailed check,DSL,No internet,51-65,1
CUST00564,19,53.95,1101.36,1,2,1,Two year,Electronic check,Fiber optic,No,65+,1
CUST00565,37,91.26,3656.78,2,3,3,Month-to-month,Bank transfer,Fiber optic,No internet,18-25,1
CUST00566,24,29.97,659.51,1,1,4,Month-to-month,Electronic check,No,No internet,51-65,0
CUST00567,7,86.96,656.3,1,7,0,One year,Electronic check,No,Yes,26-35,1
CUST00568,20,55.25,1124.39,5,9,2,One year,Credit card,Fiber optic,Yes,26-35,1
CUST00569,23,34.21,785.61,4,4,1,Month-to-month,Mailed check,DSL,Yes,18-25,0
CUST00570,47,105.72,4620.68,1,6,2,One year,Mailed check,DSL,Yes,18-25,0
CUST00571,70,101.65,6691.92,3,4,4,One year,Credit card,Fiber optic,No internet,65+,0
CUST00572,64,70.86,4607.7,3,0,4,Month-to-month,Electronic check,No,No internet,51-65,0
CUST00573,65,88.44,5255.8,3,3,10,One year,Mailed check,Fiber optic,No internet,26-35,1
CUST00574,51,62.71,3299.23,2,9,5,One year,Mailed check,Fiber optic,No,26-35,1
CUST00575,21,111.2,2366.6,1,6,0,One year,Electronic check,No,Yes,26-35,1
CUST00576,18,22.78,399.29,2,2,2,One year,Bank transfer,DSL,Yes,65+,1
CUST00577,41,51.58,2184.5,5,6,1,One year,Bank transfer,Fiber optic,No internet,26-35,1
CUST00578,53,37.24,2022.05,3,10,2,One year,Electronic check,No,No internet,18-25,1
CUST00579,71,53.96,3597.1,1,3,10,Two year,Credit card,DSL,No,65+,0
CUST00580,69,105.17,6856.81,2,1,10,Month-to-month,Bank transfer,DSL,No,36-50,1
CUST00581,66,86.27,6130.46,3,8,2,One year,Mailed check,No,No,51-65,1
CUST00582,39,109.36,3927.23,5,1,4,Month-to-month,Mailed check,Fiber optic,No,26-35,1
CUST00583,1,24.26,23.72,5,8,0,One year,Mailed check,DSL,No,65+,1
CUST00584,42,97.59,4475.67,4,4,6,Month-to-month,Mailed check,No,Yes,26-35,1
CUST00585,38,85.85,3009.01,2,6,6,Month-to-month,Bank transfer,DSL,Yes,26-35,1
CUST00586,3,50.56,138.45,3,2,0,Month-to-month,Electronic check,No,No,65+,0
CUST00587,15,29.0,466.55,4,2,1,Two year,Electronic check,No,No internet,65+,0
CUST00588,13,85.17,1110.24,2,1,2,One year,Mailed check,Fiber optic,Yes,26-35,1
CUST00589,1,26.24,25.44,2,2,0,Month-to-month,Mailed check,DSL,Yes,18-25,0
CUST00590,42,83.18,3372.43,2,4,3,Two year,Credit card,Fiber optic,No internet,26-35,1
CUST00591,54,104.25,5760.04,5,9,0,Month-to-month,Mailed check,Fiber optic,No internet,51-65,0
CUST00592,21,102.26,2257.53,2,3,1,Month-to-month,Mailed check,No,Yes,26-35,1
